,Description,Unit,Qty,,Cost per Unit,,,,Total,
,Schweppes Soda Water 1 Ltr Bottle,12 x Single Item,1,,¤ 18.95,,,,¤ 18.95,
,Smirnoff & Cranberry Can 250Ml 5%,12 x Single Item,3,,¤ 24.25,,,,¤ 72.75,
,Smirnoff 350Ml 37.5%,6 x Single,20,,¤ 50.87,,,,"¤ 1,017.32",
,Smirnoff 500Ml 37.5%,6 x Single Item,2,,¤ 75.49,,,,¤ 150.98,
,Smirnoff Ice 275ml Bottle,24 x Single Item,2,,¤ 28.89,,,,¤ 57.78,
,Smirnoff Ice 700Ml 4%,6 x Single Item,6,,¤ 22.45,,,,¤ 134.70,
,Smirnoff Ice Raspberry 70cl 4%,6 x Single Item,2,,¤ 22.49,,,,¤ 44.98,
,Smirnoff Ice Tropical 4% 700Ml,6 x Single Item,1,,¤ 22.49,,,,¤ 22.49,
,Smirnoff Mini 50Ml 37.5%,12 x Single Item,5,,¤ 18.85,,,,¤ 94.25,
,Smirnoff Naggin 200Ml 37.5%,6 x Single Item,30,,¤ 30.53,,,,¤ 915.90,
,Smithwicks Can 500ml 4PK 3.8%,24 x Single Item,1,,¤ 33.78,,,,¤ 33.78,
,Sombrero Teq Beer Bot 330Ml 3Pk5.9%,8 x 3 Pack,3,,¤ 28.50,,,,¤ 85.50,
,Squealing Pig Malbac Mendoza,6 x Single Item,1,,¤ 47.50,,,,¤ 47.50,
,Staropramen 660Ml Btl 5%,12 x Single Item,5,,¤ 26.49,,,,¤ 132.45,
,Stella 500ml 4pk Can 4.6%.,24 x Single Item,5,,¤ 36.99,,,,¤ 184.95,
,Stella Artois 660ml BTL 4.6%,12 x Single Item,3,,¤ 25.85,,,,¤ 77.55,
,Stiegl Hell Helles Lager 4.5%,20 x Single Item,1,,¤ 37.42,,,,¤ 37.42,
,Teeling Single Malt Tube 700Ml 46%,Single Item,3,,¤ 35.33,,,,¤ 105.99,
,Tennents 440ml Can 4 Pack 4%,24 x Single Item,5,,¤ 26.37,,,,¤ 131.85,
,Tiger Beer Bot 500Ml 4.8%,12 x Single Item,3,,¤ 27.80,,,,¤ 83.40,
,TK  Red Lemonade 2L,8 x Single Item,2,,¤ 9.19,,,,¤ 18.38,
,TK  White Lemonade 2L,8 x Single Item,1,,¤ 9.19,,,,¤ 9.19,
,Tuborg Can 440ml 6PK 4% BB27/5,4 x 6 Pack,5,,¤ 24.99,,,,¤ 124.95,
,Tullamore Dew Ir Whiskey 700Ml 40%,6 x Single Item,1,,¤ 110.50,,,,¤ 110.50,
,Villa Maria Sauvignon Blanc 750Ml,6 x Single Item,1,,¤ 59.95,,,,¤ 59.95,
,West Coast Cooler 250Ml 4%,24 x Single Item,1,,¤ 46.50,,,,¤ 46.50,
,West Coast Cooler 750Ml 4%,12 x Single Item,1,,¤ 54.20,,,,¤ 54.20,
,West Coast Cooler Rose 250Ml 4%,24 x Single Item,1,,¤ 46.50,,,,¤ 46.50,
,West Coast Cooler Rose 750Ml 4%,12 x Single Item,3,,¤ 54.20,,,,¤ 162.60,
,West Cork Bourbon Cask 200ml,24 x Single Item,0.166700006,,¤ 136.77,,,,¤ 22.80,
,West Cork Bourbon Cask 700Ml,6 x Single Item,1.666599989,,¤ 115.20,,,,¤ 191.99,
,White Claw Nat. Lim 4pk Seltz 4.5cn,24 x Single Item,2,,¤ 45.20,,,,¤ 90.40,
,White Claw Watermelon 4PK,24 x Single Item,2,,¤ 45.20,,,,¤ 90.40,
,Wkd Berry Daiquiri Cocktail 700ml,6 x Single Item,1,,¤ 25.99,,,,¤ 25.99,
,Wkd Blue 275ml 4% 10pk,Case 10,50,,¤ 12.39,,,,¤ 619.50,
,Wkd Blue Lagoon Cocktail 700ml 5.5%,6 x Single Item,1,,¤ 25.99,,,,¤ 25.99,
,Wrigleys Extra Spearmint 25G,30 x Single Item,1,,¤ 18.20,,,,¤ 18.20,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Yellow Tail Chardonnay,6 x Single Item,1,,¤ 42.50,,,,¤ 42.50,
,Yellow Tail Malbec 750ml,6 x Single Item,1,,¤ 42.50,,,,¤ 42.50,
,Yellow Tail Pinot Grigio 750ml Bottle,6 x Single Item,2,,¤ 44.50,,,,¤ 89.00,
,Yellow Tail Shiraz 750Ml,6 x Single Item,1,,¤ 46.50,,,,¤ 46.50,
,Zywiec Can 500Ml 4Pk 5.6% Pol,6 x 4 Pack,3,,¤ 37.69,,,,¤ 113.07,
,,,,,,,,,,
,,,,,Totals,,,,"¤ 35,179.76",
,,,,,,,,,,
,,,,,"¤ 7,757.20",,,,€ ,
,,,,,,,,,,
,,,,,,,,,,
